time,motor_angle,voltage
9.054,79586.36,3.200000000000028
9.06,79667.75,3.100000000000028
9.069,79726.81,3.0000000000000275
9.076,79777.26,2.9000000000000274
9.082,79841.78,2.800000000000028
9.087,79892.4,2.7000000000000277
9.093,79951.81,2.600000000000027
9.101,79973.08,2.500000000000027
9.109,80038.47,2.400000000000027
9.124,80084.88,2.300000000000027
9.128,80164.51,2.200000000000027
9.132,80237.1,2.1000000000000267
9.139,80256.62,2.000000000000026
9.145,80285.09,1.9000000000000263
9.154,80337.12,1.8000000000000265
9.161,80377.56,1.7000000000000264
9.172,80428.18,1.6000000000000263
9.181,80482.14,1.5000000000000262
9.189,80534.88,1.400000000000026
9.199,80574.25,1.300000000000026
9.207,80627.87,1.200000000000026
9.217,80671.64,1.1000000000000258
9.222,80720.85,1.0000000000000258
9.226,80757.77,0.9000000000000258
9.23,80780.62,0.8000000000000258
9.236,80794.51,0.7000000000000258
9.245,80815.95,0.6000000000000258
9.251,80850.76,0.5000000000000259
9.261,80886.62,0.4000000000000259
9.267,80918.6,0.3000000000000259
9.271,80953.59,0.2000000000000259
9.275,80965.54,0.1000000000000259
9.283,80980.48,2.5895952049381776e-14
9.288,80994.9,0.0
9.296,81025.66,0.0
9.304,81045.35,0.0
9.314,81069.25,0.0
9.32,81095.45,0.0
9.328,81119.17,0.0
9.335,81129.02,0.0
9.342,81149.41,0.0
9.351,81165.23,0.0
9.357,81181.05,0.0
9.365,81198.98,0.0
9.369,81209.53,0.0
9.377,81218.67,0.0
9.384,81225.87,0.0
9.39,81237.48,0.0
9.402,81246.79,0.0
9.411,81257.17,0.0
9.418,81271.93,0.0
